"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","name"
157003,"Data Engineer","Anywhere","Full-time","325000.0","2023-02-17","Engtal"
21321,"Data Engineer","Anywhere","Full-time","325000.0","2023-01-27","Engtal"
270455,"Data Engineer","Anywhere","Full-time","300000.0","2023-07-17","Durlston Partners"
230458,"Director of Engineering - Data Platform","Anywhere","Full-time","251000.0","2023-01-30","Twitch"
595768,"Principal Data Engineer","Anywhere","Full-time","250000.0","2023-02-14","Signify Technology"
543728,"Staff Data Engineer","Anywhere","Full-time","250000.0","2023-03-28","Signify Technology"
561728,"Data Engineer","Anywhere","Full-time","250000.0","2023-03-24","AI Startup"
151972,"Principal Data Engineer (Remote)","Anywhere","Full-time","245000.0","2023-05-25","Movable Ink"
204320,"Staff Data Engineer","Anywhere","Full-time","245000.0","2023-01-08","Handshake"
2446,"Data Engineering Manager","Anywhere","Full-time","242000.0","2023-12-12","Meta"
